id;name;route;lanes;longitude;lat;jurisdiction;gantry_type;gantry_set;active;password;updated;ip;toll;passage_times
1;Awesome;43654;7430;93333;31429;59989;50270;76656;77186;Bike;2023-02-03T10:38:13;Connecticut bluetooth Shilling;24675;19365
2;quantify frictionless SDD;18092;2492;86244;14500;61203;15792;55379;51139;calculating application;2023-02-03T18:40:20;Fresh Market;77925;43590
3;Global Table Car;6834;74233;65784;77865;63043;58228;68234;68188;Handmade Tennessee open;2023-02-03T06:42:42;Account payment Overpass;43404;38776
4;Director overriding indexing;9277;14334;86726;34812;26321;99049;28854;49492;collaborative;2023-02-03T07:47:52;index recontextualize;71290;81769
5;Romania transmit;41869;66392;78491;99278;83142;89689;88812;49943;Loaf;2023-02-03T11:11:48;Ports Rubber;71316;68474
6;system;27101;66972;2924;29375;13610;42140;46067;76957;Avon Account;2023-02-03T15:40:42;disintermediate Account;97092;24292
7;Factors Assistant pricing;68983;67564;23527;88657;84713;92488;15126;13149;calculating online;2023-02-03T18:51:46;integrated attitude-oriented Leu;72339;12358
8;Valleys deposit;31748;5721;75968;83393;45526;3143;1351;62849;parsing;2023-02-04T04:11:26;Steel;73753;89147
9;Utah 24/7;45887;79581;18228;93794;5074;45210;44543;16552;Organic;2023-02-03T09:54:19;cyan;87454;80666
10;AGP;86196;74635;26276;12951;87451;47912;38731;82629;Branding Crossroad invoice;2023-02-03T07:41:43;THX Assistant;62786;8551
