id;peak_hour_from;peak_hour_to;gantry;gantry_toll;active;updated
1;2023-02-04T20:49:00;2023-02-04T06:22:50;18195;94420;58630;2023-02-04T13:45:24
2;2023-02-03T23:06:28;2023-02-04T04:25:51;44226;15864;21323;2023-02-03T23:42:40
3;2023-02-04T19:03:42;2023-02-04T05:40:10;39934;74162;27054;2023-02-04T02:03:29
4;2023-02-04T05:53:58;2023-02-04T12:53:51;67169;13095;35137;2023-02-04T03:21:37
5;2023-02-04T14:19:16;2023-02-04T19:14:01;69935;89189;8561;2023-02-04T16:40:37
6;2023-02-04T04:43:55;2023-02-04T04:17:07;993;19097;52060;2023-02-04T06:48:38
7;2023-02-04T16:57:43;2023-02-04T08:38:20;61857;30577;4269;2023-02-04T01:40:46
8;2023-02-04T18:48:49;2023-02-04T14:38:37;36329;43484;71123;2023-02-03T23:22:44
9;2023-02-04T10:03:16;2023-02-04T17:52:26;14539;37448;10249;2023-02-04T01:38:46
10;2023-02-04T12:52:07;2023-02-04T01:51:19;43271;52630;74327;2023-02-04T12:32:59
