id;date_time_from;date_time_to;vehicle;vehicle_owner;active;updated
1;2023-02-03T16:37:34;2023-02-04T01:05:24;87832;30387;19144;2023-02-03T14:51:55
2;2023-02-03T20:39:35;2023-02-03T19:47:05;75491;35460;22490;2023-02-03T08:38:46
3;2023-02-03T18:16:01;2023-02-03T10:18:26;66486;65553;29692;2023-02-03T19:17:25
4;2023-02-03T23:59:27;2023-02-03T05:21:35;75060;72942;63025;2023-02-03T12:36:37
5;2023-02-04T00:26:26;2023-02-03T19:06:58;45862;18203;58727;2023-02-03T06:29:15
6;2023-02-03T06:33:30;2023-02-03T18:33:28;17474;9375;66080;2023-02-03T11:04:41
7;2023-02-04T03:55:28;2023-02-03T10:05:13;74932;92397;19871;2023-02-03T22:53:10
8;2023-02-03T19:03:02;2023-02-03T20:53:53;91346;50571;42839;2023-02-03T12:42:50
9;2023-02-03T08:29:49;2023-02-04T04:22:17;3738;9410;65942;2023-02-03T23:26:36
10;2023-02-03T12:39:27;2023-02-03T08:13:03;51616;1565;76731;2023-02-03T11:25:17
