id;name;eng_name;code;active;updated;gantry;vehicle_license_type;vehicle;vehicle_owner;passage_times
1;pixel;B2B Product;client-driven modular;68555;2023-02-03T06:24:19;55955;50478;16308;16981;71107
2;RSS Market AGP;Small Grocery;Hat Personal;47465;2023-02-03T18:44:35;22059;57949;65497;48137;4194
3;deposit Parkway XSS;circuit Rubber Street;Devolved District;36258;2023-02-03T11:11:40;40865;88874;50251;43828;23752
4;haptic;Metrics Plastic;PNG Technician Iowa;33960;2023-02-03T22:26:33;36998;85264;70966;15895;73520
5;infomediaries;turquoise Analyst;Integrated SDD New;725;2023-02-04T01:28:51;77157;98315;93568;21736;49586
6;Sleek experiences silver;Web;empowering JSON;4681;2023-02-04T04:22:28;5613;77234;15553;59640;3343
7;Incredible Shoes Birr;Unbranded;index SCSI Cheese;82753;2023-02-03T15:50:48;64536;22685;87397;46070;90837
8;Configuration up;primary Customer;Integration Avon;62661;2023-02-04T02:40:39;53391;38002;62350;3227;13089
9;Accounts;District Vermont parsing;connecting;12144;2023-02-03T05:31:51;28749;426;38027;74899;59124
10;orchestrate Personal;Bedfordshire;Hat Plastic;95187;2023-02-03T18:04:55;89303;49469;1299;38454;98390
