id;name;jhi_rank;eng_name;code;updated;active;gantry_toll
1;Cotton transmitter;76044;invoice Gorgeous Baby;Australia;2023-02-03T18:59:26;98140;31761
2;AI auxiliary holistic;88699;Account Jewelery black;Zealand Account Legacy;2023-02-03T20:21:49;74206;70011
3;Home;44498;Oro Buckinghamshire Cotton;Supervisor;2023-02-03T10:25:24;47470;35234
4;Awesome synthesizing;38318;cross-platform Shoes Synergized;Central;2023-02-03T22:01:18;18387;5661
5;Peso Multi-layered;75591;Soap Salad;Kids transmitting;2023-02-03T06:45:17;72065;11760
6;Associate;96232;Refined Licensed Account;Industrial Legacy;2023-02-03T11:11:54;17618;39300
7;Ergonomic;69260;generating District object-oriented;hacking Rubber Springs;2023-02-04T01:28:31;21548;54822
8;Balanced Distributed;17597;neural;deliverables Steel;2023-02-03T05:48:29;34642;3557
9;Principal;63431;invoice programming Outdoors;blockchains relationships dot-com;2023-02-03T08:03:38;16501;11254
10;static;4763;blue;array Credit;2023-02-03T22:14:38;6929;13562
